时间,商品名称,库存变化,单笔销量
2026-08-19 23:33:23,beatroad,3022 -> -3023,1
2026-08-20 18:04:45,beatroad,-3023 -> -3053,30
2026-08-20 18:44:16,beatroad,-3053 -> -3054,1
2026-08-20 19:38:21,beatroad,-3054 -> -3059,5
2026-08-20 23:00:02,beatroad,-3059 -> -3095,36
2026-08-21 06:21:15,beatroad,-3095 -> -3105,10
2026-08-21 15:09:15,beatroad,-3105 -> -3111,6
2026-08-21 15:39:27,beatroad,-3111 -> -3149,38
2026-08-21 16:43:22,beatroad,-3149 -> -3177,28
2026-08-21 16:55:11,beatroad,-3177 -> -3208,31
2026-08-21 17:08:16,beatroad,-3208 -> -3274,66
2026-08-21 17:44:17,beatroad,-3274 -> -3343,69
2026-08-21 17:50:16,beatroad,-3343 -> -3382,39
2026-08-21 20:11:15,beatroad,-3382 -> -3394,12
2026-08-21 20:34:14,beatroad,-3394 -> -3429,35
2026-08-21 20:39:12,beatroad,-3429 -> -3577,148
